[Fri Apr 22 12:02:40.950243 2016] [:error] [pid 2563] [client 127.0.0.1:38980] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 36, referer: http://jus.dev/Auth/login
[Fri Apr 22 15:18:11.164373 2016] [:error] [pid 4067] [client 127.0.0.1:39117] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 10, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 15:18:23.720547 2016] [:error] [pid 1214] [client 127.0.0.1:39120] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 10, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 16:27:01.093625 2016] [:error] [pid 1217] [client 127.0.0.1:39625] PHP Parse error:  syntax error, unexpected 'throw' (T_THROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 295, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 16:32:51.788286 2016] [:error] [pid 1216] [client 127.0.0.1:39657] PHP Fatal error:  Call to undefined method AudienciasController::getDataSource() in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 291, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 16:33:32.529865 2016] [:error] [pid 6857] [client 127.0.0.1:39660] PHP Fatal error:  Call to a member function getDataSource() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 291, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 09:15:10.102305 2016] [:error] [pid 1230] [client 127.0.0.1:50946] PHP Parse error:  syntax error, unexpected 'throw' (T_THROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 302
[Tue Apr 26 09:16:25.118703 2016] [:error] [pid 1234] [client 127.0.0.1:50956] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 304
[Tue Apr 26 09:18:45.326285 2016] [:error] [pid 1233] [client 127.0.0.1:50983] PHP Parse error:  syntax error, unexpected '{' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 301
[Tue Apr 26 09:20:37.913243 2016] [:error] [pid 1233] [client 127.0.0.1:50994] PHP Parse error:  syntax error, unexpected '{' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 302
[Tue Apr 26 09:23:33.529710 2016] [:error] [pid 6382] [client 127.0.0.1:51008] PHP Parse error:  syntax error, unexpected '{' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 302
[Tue Apr 26 09:24:29.033115 2016] [:error] [pid 6382] [client 127.0.0.1:51010] PHP Parse error:  syntax error, unexpected '{' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 302
[Tue Apr 26 11:19:16.453912 2016] [:error] [pid 6382] [client 127.0.0.1:52147] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 305, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 11:19:29.927361 2016] [:error] [pid 1233] [client 127.0.0.1:52149] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 318, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 11:20:05.545406 2016] [:error] [pid 1232] [client 127.0.0.1:52151] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 329, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 12:19:11.299576 2016] [:error] [pid 7113] [client 127.0.0.1:52289] PHP Fatal error:  Call to a member function save() on a non-object in /home/matias/Work/justicia/jus/app/Model/Audiencia.php on line 72, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 12:42:23.012264 2016] [:error] [pid 1232] [client 127.0.0.1:52624] PHP Parse error:  syntax error, unexpected '$data' (T_VARIABLE) in /home/matias/Work/justicia/jus/app/Model/Audiencia.php on line 72, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 12:52:50.099294 2016] [:error] [pid 1234] [client 127.0.0.1:52669] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 310, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 12:53:08.058700 2016] [:error] [pid 1232] [client 127.0.0.1:52671] PHP Parse error:  syntax error, unexpected 'un' (T_STRING) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 349, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 26 17:36:53.693660 2016] [:error] [pid 7113] [client 127.0.0.1:53986] PHP Parse error:  syntax error, unexpected 's' (T_STRING) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 184, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Mon May 02 08:14:06.951749 2016] [:error] [pid 1195] [client 127.0.0.1:42662] PHP Parse error:  syntax error, unexpected '(', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 183
[Mon May 02 09:31:25.136333 2016] [:error] [pid 3337] [client 127.0.0.1:43514] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 215, referer: http://jus.dev/Auth/login
[Mon May 02 09:46:25.687239 2016] [:error] [pid 4048] [client 127.0.0.1:43605] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 224, referer: http://jus.dev/Auth/login
[Tue May 03 07:38:15.062537 2016] [:error] [pid 3403] [client 127.0.0.1:45935] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 230, referer: http://jus.dev/Audiencias/dashboard
[Tue May 03 07:38:36.892398 2016] [:error] [pid 3204] [client 127.0.0.1:45951] PHP Parse error:  syntax error, unexpected '}' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 233, referer: http://jus.dev/Audiencias/dashboard
[Tue May 03 07:42:26.601750 2016] [:error] [pid 3206] [client 127.0.0.1:46009] PHP Parse error:  syntax error, unexpected '}' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 233, referer: http://jus.dev/Audiencias/dashboard
[Tue May 03 08:03:36.534597 2016] [:error] [pid 3301] [client 127.0.0.1:46134] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 231, referer: http://jus.dev/Auth/login
